[2026-03-16T23:26:10.301Z] GET http://localhost:8085/index.html → 200 (2ms, ?B)
[2026-03-16T23:26:10.306Z] GET http://localhost:8085/css/styles.css → 200 (5ms, ?B)
[2026-03-16T23:26:10.306Z] GET http://localhost:8085/assets/logos/Logo_Ppal_LNDB.png → 200 (5ms, ?B)
[2026-03-16T23:26:10.306Z] GET http://localhost:8085/assets/images/trees/Eucalipto.png → pending (?ms, ?B)
[2026-03-16T23:26:10.306Z] GET http://localhost:8085/assets/images/trees/PalmaCera.png → pending (?ms, ?B)
[2026-03-16T23:26:10.306Z] GET http://localhost:8085/assets/images/trees/GuayacanA.png → pending (?ms, ?B)
[2026-03-16T23:26:10.306Z] GET http://localhost:8085/assets/images/trees/Ceiba.png → pending (?ms, ?B)
[2026-03-16T23:26:10.306Z] GET http://localhost:8085/assets/images/trees/Cacao.png → pending (?ms, ?B)
[2026-03-16T23:26:10.307Z] GET http://localhost:8085/assets/images/trees/Copal.png → pending (?ms, ?B)
[2026-03-16T23:26:10.307Z] GET http://localhost:8085/assets/images/trees/Roble.png → pending (?ms, ?B)
[2026-03-16T23:26:10.307Z] GET http://localhost:8085/assets/images/trees/Caimito.png → pending (?ms, ?B)
[2026-03-16T23:26:10.307Z] GET http://localhost:8085/assets/images/trees/GuayacanR.png → pending (?ms, ?B)
[2026-03-16T23:26:10.307Z] GET http://localhost:8085/assets/images/trees/Cerezo.png → pending (?ms, ?B)
[2026-03-16T23:26:10.307Z] GET http://localhost:8085/assets/images/book-1.jpg → pending (?ms, ?B)
[2026-03-16T23:26:10.307Z] GET http://localhost:8085/assets/images/trees/Cenizo.png → pending (?ms, ?B)
[2026-03-16T23:26:10.310Z] GET http://localhost:8085/assets/logos/Logo_Blanco_LNDB.png → pending (?ms, ?B)
[2026-03-16T23:26:10.325Z] GET http://localhost:8085/assets/fonts/Mulish-Medium.ttf → 200 (16ms, 105916B)
[2026-03-16T23:26:10.325Z] GET http://localhost:8085/assets/fonts/Isaodelco-Regular.otf → 200 (15ms, 16032B)
[2026-03-16T23:26:10.325Z] GET http://localhost:8085/assets/fonts/Mulish-Regular.ttf → 200 (16ms, 105860B)
[2026-03-16T23:26:10.325Z] GET http://localhost:8085/assets/fonts/Mulish-SemiBold.ttf → 200 (16ms, 105860B)
[2026-03-16T23:26:10.325Z] GET http://localhost:8085/assets/images/trees/Yarumo.png → 200 (15ms, 1061748B)
[2026-03-16T23:26:44.636Z] GET http://localhost:8085/quienes-somos.html → 200 (1ms, 6728B)
[2026-03-16T23:26:44.639Z] GET http://localhost:8085/css/styles.css → 304 (2ms, ?B)
[2026-03-16T23:26:44.639Z] GET http://localhost:8085/assets/logos/Logo_Ppal_LNDB.png → 200 (1ms, 206157B)
[2026-03-16T23:26:44.640Z] GET http://localhost:8085/assets/images/backgrounds/Copal%202.jpg → 200 (1ms, 101071B)
[2026-03-16T23:26:44.640Z] GET http://localhost:8085/assets/images/book-2.jpg → 200 (3ms, 441982B)
